,legislatura,nome_parlamentar,sigla_partido,acoes
328,56,NICOLETTI,PSL,5
214,56,DR. FREDERICO,Patriota,5
270,56,FÁBIO HENRIQUE,PDT,5
113,56,DANIEL TRZECIAK,PSDB,5
43,56,VALTENIR PEREIRA,MDB,5
201,56,JOÃO ROMA,PRB,5
276,56,ENIO VERRI,PT,5
319,56,FERNANDO MONTEIRO,Progressistas,5
324,56,FLAVIO NOGUEIRA,PDT,5
310,56,TADEU ALENCAR,PSB,6
383,56,JOSÉ MEDEIROS,Podemos,6
356,56,WOLNEY QUEIROZ,PDT,6
199,56,CELINA LEÃO,Progressistas,6
34,56,PROFESSORA MARCIVANIA,PCdoB,6
88,56,FELIPE FRANCISCHINI,PSL,6
143,56,OTTO ALENCAR FILHO,PSD,6
163,56,FELIPE CARRERAS,PSB,6
137,56,GURGEL,PSL,6
274,56,DOMINGOS SÁVIO,PSDB,6
172,56,DELEGADO PABLO,PSL,6
182,56,RODRIGO AGOSTINHO,PSB,6
23,56,MAURO NAZIF,PSB,6
271,56,CAMILO CAPIBERIBE,PSB,6
102,56,BETO ROSADO,Progressistas,6
148,56,SILVIO COSTA FILHO,PRB,7
227,56,AIRTON FALEIRO,PT,7
203,56,JOSÉ NELTO,Podemos,7
222,56,JULIO CESAR RIBEIRO,PRB,7
85,56,MARCELO CALERO,Cidadania,7
343,56,HELDER SALOMÃO,PT,7
158,56,WALDENOR PEREIRA,PT,7
104,56,PERPÉTUA ALMEIDA,PCdoB,7
60,56,JOENIA WAPICHANA,REDE,7
154,56,ZÉ NETO,PT,7
3,56,MARRECA FILHO,Patriota,7
298,56,CORONEL TADEU,PSL,7
247,56,AMARO NETO,PRB,7
282,56,JANDIRA FEGHALI,PCdoB,7
277,56,DR. LUIZ OVANDO,PSL,7
391,56,TALÍRIA PETRONE,PSOL,7
273,56,ALEXANDRE PADILHA,PT,7
374,56,ZÉ VITOR,PR,7
284,56,LUISA CANZIANI,PTB,8
161,56,ALEXIS FONTEYNE,NOVO,8
308,56,CHICO D'ANGELO,PDT,8
114,56,OTACI NASCIMENTO,Solidariedade,8
57,56,JOÃO CAMPOS,PRB,8
262,56,JOAQUIM PASSARINHO,PSD,8
17,56,DELEGADO ÉDER MAURO,PSD,8
257,56,SANTINI,PTB,8
26,56,SERGIO SOUZA,MDB,8
236,56,TÚLIO GADÊLHA,PDT,8
208,56,EFRAIM FILHO,DEM,8
68,56,AFONSO HAMM,Progressistas,8
359,56,BIBO NUNES,PSL,9
362,56,AUREO RIBEIRO,Solidariedade,9
115,56,RICARDO IZAR,Progressistas,9
2,56,BACELAR,Podemos,9
300,56,LAERCIO OLIVEIRA,Progressistas,9
0,56,PEDRO WESTPHALEN,Progressistas,9
240,56,ORLANDO SILVA,PCdoB,9
292,56,GLAUSTIN FOKUS,PSC,9
211,56,CAPITÃO WAGNER,PROS,9
166,56,LUIS MIRANDA,DEM,9
228,56,LUIZ LIMA,PSL,10
108,56,VITOR LIPPI,PSDB,10
111,56,CARLOS GOMES,PRB,10
175,56,PAULA BELMONTE,Cidadania,10
92,56,MARGARETE COELHO,Progressistas,10
245,56,BENEDITA DA SILVA,PT,10
27,56,TIAGO MITRAUD,NOVO,10
253,56,JÚLIO CESAR,PSD,10
7,56,HIRAN GONÇALVES,Progressistas,10
107,56,NILTO TATTO,PT,10
376,56,DRA. SORAYA MANATO,PSL,11
56,56,LINCOLN PORTELA,PR,11
76,56,AUGUSTO COUTINHO,Solidariedade,11
242,56,DANILO CABRAL,PSB,11
301,56,TABATA AMARAL,PDT,11
152,56,SANDERSON,PSL,11
116,56,MÁRIO NEGROMONTE JR.,Progressistas,11
117,56,VINICIUS CARVALHO,PRB,11
159,56,LUCAS GONZALEZ,NOVO,11
261,56,ALEXANDRE LEITE,DEM,12
221,56,PROFESSORA DORINHA SEABRA REZENDE,DEM,12
71,56,FELIPE RIGONI,PSB,12
389,56,DELEGADO WALDIR,PSL,12
33,56,GENINHO ZULIANI,DEM,12
50,56,SÓSTENES CAVALCANTE,DEM,12
223,56,NELSON PELLEGRINO,PT,13
20,56,JOÃO H. CAMPOS,PSB,13
256,56,CELSO MALDANER,MDB,13
260,56,PAULO TEIXEIRA,PT,14
229,56,JERÔNIMO GOERGEN,Progressistas,14
6,56,MARGARIDA SALOMÃO,PT,15
363,56,ALICE PORTUGAL,PCdoB,15
390,56,DARCÍSIO PERONDI,MDB,15
1,56,IDILVAN ALENCAR,PDT,16
384,56,CARMEN ZANOTTO,Cidadania,16
250,56,FÁBIO TRAD,PSD,16
352,56,EVAIR VIEIRA DE MELO,Progressistas,17
345,56,ANDRÉ FIGUEIREDO,PDT,17
226,56,MARIA DO ROSÁRIO,PT,18
18,56,LUCAS VERGILIO,Solidariedade,19
246,56,POMPEO DE MATTOS,PDT,23
339,56,DIEGO GARCIA,Podemos,24
272,56,ALCEU MOREIRA,MDB,25
15,56,HILDO ROCHA,MDB,28
14,56,EDUARDO BARBOSA,PSDB,31
146,56,ERIKA KOKAY,PT,32
348,56,KIM KATAGUIRI,DEM,33
346,56,FLÁVIA MORAIS,PDT,38
