,legislatura,nome_parlamentar,sigla_partido,acoes
172,56,LUISA CANZIANI,PTB,8
157,56,SANTINI,PTB,8
130,56,EFRAIM FILHO,DEM,8
280,56,JOÃO CAMPOS,PRB,8
317,56,OTACI NASCIMENTO,Solidariedade,8
46,56,AFONSO HAMM,Progressistas,8
15,56,SERGIO SOUZA,MDB,8
10,56,DELEGADO ÉDER MAURO,PSD,8
341,56,ALEXIS FONTEYNE,NOVO,8
161,56,JOAQUIM PASSARINHO,PSD,8
416,56,LAERCIO OLIVEIRA,Progressistas,9
132,56,CAPITÃO WAGNER,PROS,9
67,56,RICARDO IZAR,Progressistas,9
453,56,AUREO RIBEIRO,Solidariedade,9
181,56,GLAUSTIN FOKUS,PSC,9
221,56,BIBO NUNES,PSL,9
343,56,LUIS MIRANDA,DEM,9
382,56,FREITAS,,9
383,56,ORLANDO SILVA,PCdoB,9
351,56,RICARDO IZAR,PTB,9
243,56,PEDRO WESTPHALEN,Progressistas,9
380,56,TÚLIO GADÊLHA,PDT,9
251,56,HIRAN GONÇALVES,Progressistas,10
152,56,FURTADO,,10
300,56,MARGARETE COELHO,Progressistas,10
142,56,LUIZ LIMA,PSL,10
388,56,BENEDITA DA SILVA,PT,10
61,56,VITOR LIPPI,PSDB,10
191,56,CARLOS GOMES,,10
460,56,GONÇALVES,,10
64,56,CARLOS GOMES,PRB,10
350,56,PAULA BELMONTE,Cidadania,10
4,56,CESAR,,10
264,56,TIAGO MITRAUD,NOVO,10
245,56,BACELAR,Podemos,10
311,56,NILTO TATTO,PT,10
69,56,MÁRIO NEGROMONTE JR.,Progressistas,11
50,56,AUGUSTO COUTINHO,Solidariedade,11
86,56,NASCIMENTO,,11
274,56,MÁRIO NEGROMONTE,Progressistas,11
95,56,SANDERSON,PSL,11
318,56,VINICIUS CARVALHO,PRB,11
386,56,DANILO CABRAL,PSB,11
170,56,PORTELA,,11
32,56,LINCOLN PORTELA,PR,11
337,56,OLIVEIRA,,11
339,56,LUCAS GONZALEZ,NOVO,11
227,56,DRA. SORAYA MANATO,PSL,11
418,56,TABATA AMARAL,PDT,11
47,56,FELIPE RIGONI,PSB,12
18,56,GENINHO ZULIANI,DEM,12
398,56,ALEXANDRE LEITE,DEM,12
275,56,SÓSTENES CAVALCANTE,DEM,12
237,56,DELEGADO WALDIR,PSL,12
373,56,PROFESSORA DORINHA SEABRA REZENDE,DEM,12
395,56,CELSO MALDANER,MDB,13
258,56,JOÃO H. CAMPOS,PSB,13
138,56,NELSON PELLEGRINO,PT,13
397,56,PAULO TEIXEIRA,PT,14
27,56,MIRANDA,,14
143,56,JERÔNIMO GOERGEN,Progressistas,14
471,56,DARCÍSIO PERONDI,MDB,15
250,56,MARGARIDA SALOMÃO,PT,15
381,56,LIMA,,15
454,56,ALICE PORTUGAL,PCdoB,15
474,56,IDILVAN ALENCAR,PDT,16
219,56,COSTA,,16
467,56,CARMEN ZANOTTO,Cidadania,16
151,56,FÁBIO TRAD,PSD,16
325,56,GOMES,,16
220,56,EVAIR VIEIRA DE MELO,Progressistas,17
197,56,COELHO,,17
439,56,ANDRÉ FIGUEIREDO,PDT,17
375,56,MARIA DO ROSÁRIO,PT,18
259,56,LUCAS VERGILIO,Solidariedade,19
128,56,CARVALHO,,20
389,56,POMPEO DE MATTOS,PDT,23
437,56,DIEGO GARCIA,Podemos,25
404,56,ALCEU MOREIRA,MDB,25
368,56,SÁ,PR,27
271,56,MONTE,,27
91,56,ALENCAR,,29
256,56,HILDO ROCHA,MDB,29
334,56,ROCHA,PSDB,30
8,56,EDUARDO BARBOSA,PSDB,31
89,56,ERIKA KOKAY,PT,32
442,56,KIM KATAGUIRI,DEM,33
11,56,SILVA,,34
440,56,FLÁVIA MORAIS,PDT,38
402,56,RIBEIRO,,38
122,56,FIGUEIREDO,,51
297,56,VIEIRA DE MELO,,51
470,56,MOREIRA,,56
21,56,ROCHA,,60
3,56,BARBOSA,,62
